param,cat,descrip,value,source,distribution,dist notes,variability,variability:lb,variability:ub
vPREDICTsens,risk,sensitivity of PREDICT,0.23,study,beta,,,,
vPREDICTspec,risk,specificity of PREDICT,0.93,study,beta,,,,
vProbabilityRead,risk,Probability of physician using available test result at time of prescription,1,assumption,beta,,,,
vProbabilityReactive,risk,Probability of physician ordering test for patient not yet genotyped at time of prescription,1,assumption,beta,,,,
vDAPT.SecondLine,risk,Second-line drug,Ticagrelor,assumption,,,,,
vCYP2C19.Poor,risk,Population-Level Allele Frequency Distribution: poor metabolizer,0.21,Kazi 2014 Annals,Dirichlet multinomial ,literature,range,0.15,0.4
vCYP2C19.Rapid,risk,Population-Level Allele Frequency Distribution: rapid metabolizer,0.33,Kazi 2014 Annals,Dirichlet multinomial ,literature,range,0.1,0.4
vCYP2C19.Unknown,risk,Population-Level Allele Frequency Distribution: unknown metabolizer,0.07,Kazi 2014 Annals,Dirichlet multinomial ,literature,range,0.05,0.09
vDAPTShape,risk,Weibull shape for time to DAPT,0.59,study,,,,,
vDAPTScale,risk,Weibull scale for time to DAPT,60475.53,study,,,,,
vRRRepeat.DAPT,risk,Relative risk for repeat DAPT therapy,1.00E-12,assumption,,epsilon,,,
vMaxDAPT,risk,Maximum number of DAPT therapies an individual can have,4,assumption,,,,,
vDAPT.Tx.Duration,risk,Duration of DAPT therapy,365,Kazi 2014 Annals,log normal?,literature,range,365,1460
vProbabilityDAPTSwitch,risk,Probability of switching to second-line DAPT if genotyped,0.55,VUMC PREDICT DATA,beta,study,,missing,
vRR.ST.LOF,risk,Relative Risk of ST for patients with loss of function allele who are treated with Clopidogrel,1.75,Kazi 2014 Annals,lognormal,literature,range,1.5,2.03
vRiskST30,risk,30-day rate of Stent Thrombosis,0.015,Kazi 2014 Annals,lognormal,literature,range,0.01,0.02
vRiskST365,risk,365-day rate of Stent Thrombosis,0.006,Kazi 2014 Annals,lognormal,literature,range,0.003,0.009
vRiskSTgt365,risk,post 1 year rate of Stent Thrombosis,0.0022,Kazi 2014 Annals,lognormal,literature,range,0.001,0.003
vRR.ST.Ticagrelor,risk,Relative risk of ST for Ticagrelor users,0.75,Kazi 2014 Annals,lognormal,literature,range,0.59,0.95
vRR.ST.Prasugrel,risk,Relative risk of ST for Prasugrel users,0.48,Kazi 2014 Annals,lognormal,literature,range,0.36,0.64
vRR.ST.Aspirin,risk,Relative risk of ST for Aspirin users,1.29,Kazi 2014 Annals,lognormal,literature,range,1.12,1.48
