param,descrip,value,source,distribution,dist notes,variability,notes,fitted parameters
panel_test,Cost of panel test,250,unknown,,,missing,,
single_test,Cost of panel test,100,unknown,,,missing,,
mild_myopathy,Daily cost of mild myopathy (/1d),129,Healthcare Bluebook - Employer,,,missing,,
mod_myopathy,Daily cost of moderate myopathy (/30d),75.16666667,Healthcare Bluebook - Employer,,,missing,,
sev_myopathy,Daily cost of severe myopathy (/30d),427.0333333,Galper 2015,,not found,missing,,
cvd,Daily cost of cvd (/30d),678.2333333,Korsnes 2015,try gamma,literature,sd=38690,,
simvastatin,Daily cost of Simvastatin,0.402739726,"AWP, Red Bood Online 2015",try gamma,,missing,,
alt_simvastatin,Daily cost of alternate to Simvastatin,0.474246575,"AWP, Red Bood Online 2015",try gamma,,missing,,
aspirin,Daily cost of Aspirin,0.130619391,Kazi 2014 Annals,lognormal,literature,2~10,,
clopidogrel,Daily cost of Clopidogrel,0.979645436,Kazi 2014 Annals,lognormal,literature,4~200,,
ticagrelor,Daily cost of Ticagrelor,7.184066528,Kazi 2014 Annals,lognormal,literature,150~300,,
prasugrel,Daily cost of Prasugrel,8.52291529,Kazi 2014 Annals,lognormal,literature,150~300,,
bleed_ext_maj_nonfatal,Daily cost of non-fatal extracranial bleed (/14d),708.1437007,Kazi 2014 Annals,lognormal,literature,5060~20240,,
bleed_int_maj_nonfatal,Daily cost of non-fatal intracranial bleed,20317.84634,Kazi 2014 Annals,lognormal,literature,10370~41480,,
bleed_min_nonfatal,Daily cost of non-fatal minor bleed (/2d),38.69599471,Kazi 2014 Annals,lognormal,literature,40~158,,
bleed_fatal,Daily cost of fatal bleed,17555.24621,Kazi 2014 Annals,lognormal,literature,8950~35840,,
st_fatal,Daily cost of fatal Stent Thrombosis,24040.49899,Kazi 2014 Annals,lognormal,literature,12270~49080,,
mi_cabg,Daily cost of MI CABG,66341.5889,Kazi 2014 Annals,lognormal,literature,33860~135440,,
mi_med_manage,Daily cost of MI med manage,16849.90149,Kazi 2014 Annals,lognormal,literature,8600~34400,,
mi_pci,Daily cost of MI PCI,27273.32893,Kazi 2014 Annals,lognormal,literature,13820~55680,,
revasc_cabg,Daily cost of revascularization CABG (/14d),3537.919516,Kazi 2014 Annals,lognormal,literature,25280~101120,,
revasc_pci,Daily cost of revascularization PCI (/7d),2892.753022,Kazi 2014 Annals,lognormal,literature,10340~41340,,
cabg_bleed,Daily cost of CABG-related bleed (/7d),4977.998307,Kazi 2014 Annals,lognormal,literature,17790~71140,,
warfarin,Daily cost of warfarin,0.712430843,Patrick 2009,gamma,literature,39-112,,
MajorBleed_ICH,Daily cost of non-fatal intracranial bleed,20317.84634,Kazi 2014,lognormal,literature,10370~41480,,
MajorBleed_GI,Daily cost of non-fatal gastrointestinal bleed (/14d),162.901041,Dorian 2014,try gamma,literature,1928-2845,,
MajorBleed_Other,Daily cost of other non-fatal major bleed (/14d),430.6241437,Dorian 2014,try gamma,literature,3909-7098,,
MajorBleed_ICH_Fatal,Daily cost of fatal intracranial bleed,17555.24621,Kazi 2014,lognormal,literature,8950~35840,,
MajorBleed_GI_Fatal,Daily cost of fatal gastrointestinal bleed,17555.24621,Kazi 2014,lognormal,literature,8950~35840,,
MajorBleed_Other_Fatal,Daily cost of other fatal major bleed,17555.24621,Kazi 2014,lognormal,literature,8950~35840,,
MinorBleed,Daily cost of non-fatal minor bleed (/2d),38.69599471,Kazi 2014 Annals,lognormal,literature,40~158,,
Stroke_MajorDeficit,Daily cost of stroke major deficit,19449.66304,Patrick 2009,gamma,literature,12000-34000,,
Stroke_MinorDeficit,Daily cost of stroke minor deficit,13996.85784,Patrick 2009,gamma,literature,8000-24000,,
Stroke_Fatal,Daily cost of fatal stroke,9388.433715,Patrick 2009,gamma,literature,5000-16000,,
DVT,Daily cost of deep vein thrombosis,6248.226453,Spyropoulos 2007,try gamma,literature,only pe available,,
PE,Daily cost of pulmonary embolism,10711.01027,Spyropoulos 2007,try gamma,literature,only pe available,,
DVTPE_Fatal,Daily cost of fatal DVTPE,5759.492384,unknown,,,missing,,
out_of_range,Daily cost of INR test for those out of therapeutic range (/3d),8.729786384,Patrick 2009,gamma,literature,15-46,,
in_range,Daily cost of INR test for those in therapeutic range (/7d),3.741337022,Patrick 2009,gamma,literature,15-46,,
