param,descrip,value,source,distribution,dist notes,variability,notes,fitted parameters
mild_myopathy,Temporary disutility of mild myopathy (1d),0.01,assumption,try beta,,,,
mod_myopathy,Temporary disutility of moderate myopathy (30d),0.05,Sullivan 2006,try beta,not found,,,
sev_myopathy,Temporary disutility of severe myopathy (30d),0.53,Vegter 2014,beta,literature,CI,,
cvd,Temporary disutility of cvd (30d),0.2445,Sullivan 2006,try beta,not found,,,
cvd_death,Permanent disutility of CVD death,1,,,,,,
rahbdo_death,Permanent disutility of severe myopathy death,1,,,,,,
bleed_ext_maj_nonfatal,Temporary disutility of non-fatal extracranial bleed (14d),0.2,Kazi 2014 Annals,beta,literature,7~21,,
bleed_int_maj_nonfatal,Permanent disutility of non-fatal intracranial bleed,0.61,Kazi 2014 Annals,beta,literature,0.4~0.8,,
bleed_min_nonfatal,Temporary disutility of non-fatal minor bleed (2d),0.2,Kazi 2014 Annals,beta,literature,0~7,,
bleed_fatal,Permanent disutility of fatal bleed,1,,,,,,
st_fatal,Permanent disutility of fatal Stent Thrombosis,1,,,,,,
mi_cabg,Permanent disutility of MI CABG,0.12,Kazi 2014 Annals,beta,literature,0.07~0.16,,
mi_med_manage,Permanent disutility of MI medical management,0.12,Kazi 2014 Annals,beta,literature,0.07~0.16,,
mi_pci,Permanent disutility of MI PCI,0.12,Kazi 2014 Annals,beta,literature,0.07~0.16,,
revasc_cabg,Temporary disutility of revascularization CABG (14d),0.5,Kazi 2014 Annals,log normal?,literature,7~21,days,
revasc_pci,Temporary disutility of revascularization PCI (7d),0.5,Kazi 2014 Annals,log normal?,literature,3~14,days,
cabg_bleed,Temporary disutility of CABG-related bleed (7d),0.5,Kazi 2014 Annals,log normal?,literature,3~14,days,
MajorBleed_ICH,Permanent disutility of non-fatal intracranial bleed,0.61,Kazi 2014,beta,literature,0.4~0.8,,
MajorBleed_GI,Temporary disutility of non-fatal gastrointestinal bleed (14d),0.1511,Dorian 2014,beta,literature,se=0.0401,,
MajorBleed_Other,Temporary disutility of other non-fatal major bleed (14d),0.1511,Dorian 2014,beta,literature,se=0.0401,,
MajorBleed_ICH_Fatal,Permanent disutility of fatal intracranial bleed,1,,,,,,
MajorBleed_GI_Fatal,Permanent disutility of fatal gastrointestinal bleed,1,,,,,,
MajorBleed_Other_Fatal,Permanent disutility of other fatal major bleed,1,,,,,,
MinorBleed,Temporary disutility of non-fatal minor bleed (2d),0.2,Kazi 2014,log normal?,literature,7~21,days,
Stroke_MajorDeficit,Permanent disutility of stroke major deficit,0.64,Patrick 2009,beta,literature,0.34-0.89,,
Stroke_MinorDeficit,Permanent disutility of stroke minor deficit,0.24,Patrick 2009,beta,literature,0.06-0.48,,
Stroke_Fatal,Permanent disutility of fatal stroke,1,,,,,,
DVT,Permanent disutility of deep vein thrombosis,0.79,Eckman 2009,beta,literature,point estimates only,,
PE,Permanent disutility of pulmonary embolism,0.79,Eckman 2009,beta,literature,point estimates only,,
DVTPE_Fatal,Permanent disutility of fatal DVTPE,1,,,,,,
out_of_range,Temporary disutility of INR test for those out of therapeutic range (/3d),0.004,unknown,,,missing,,
in_range,Temporary disutility of INR test for those in therapeutic range (/7d),0.001714286,unknown,,,missing,,
secular_death,Permanent disutility of secular death,1,,,,,,
