param,descrip,value,source,distribution,dist notes,variability,notes,fitted parameters
vPREDICTsens,sensitivity of PREDICT,0.23,study,beta,,,,
vPREDICTspec,specificity of PREDICT,0.93,study,beta,,,,
vProbabilityRead,Probability of physician using available test result at time of prescription,1,assumption,beta,,,,
vProbabilityReactive,Probability of physician ordering test for patient not yet genotyped at time of prescription,1,assumption,beta,,,,
vDAPT.SecondLine,Second-line drug,Ticagrelor,assumption,,,,,
vCYP2C19.Poor,Population-Level Allele Frequency Distribution: poor metabolizer,0.21,Kazi 2014 Annals,Dirichlet multinomial ,literature,0.15-0.40 ,,
vCYP2C19.Rapid,Population-Level Allele Frequency Distribution: rapid metabolizer,0.33,Kazi 2014 Annals,Dirichlet multinomial ,literature,0.10-0.40 ,,
vCYP2C19.Unknown,Population-Level Allele Frequency Distribution: unknown metabolizer,0.07,Kazi 2014 Annals,Dirichlet multinomial ,literature,0.05-0.09 ,,
vDAPTShape,Weibull shape for time to DAPT,0.59,study,,,,,
vDAPTScale,Weibull scale for time to DAPT,60475.53,study,,,,,
vRRRepeat.DAPT,Relative risk for repeat DAPT therapy,1.00E-12,Kazi 2014 Annals,lognormal,literature,,,
vMaxDAPT,Maximum number of DAPT therapies an individual can have,4,assumption,,,,,
vDAPT.Tx.Duration,Duration of DAPT therapy,365,assumption,,,,,
vProbabilityDAPTSwitch,Probability of switching to second-line DAPT if genotyped,0.55,VUMC PREDICT DATA,beta,study,missing,,
vRR.ST.LOF,Relative Risk of ST for patients with loss of function allele who are treated with Clopidogrel,1.75,Kazi 2014 Annals,lognormal,literature,1.50-2.03 ,,
vRiskST30,30-day rate of Stent Thrombosis,0.015,Kazi 2014 Annals,lognormal,literature,0.010-0.020,,
vRiskST365,365-day rate of Stent Thrombosis,0.006,Kazi 2014 Annals,lognormal,literature,0.003-0.009,,
vRiskSTgt365,post 1 year rate of Stent Thrombosis,0.0022,Kazi 2014 Annals,lognormal,literature,0.001-0.003,,
vRR.ST.Ticagrelor,Relative risk of ST for Ticagrelor users,0.75,Kazi 2014 Annals,lognormal,literature,0.59-0.95 ,,
