"param","descrip","value"
"vPREDICTsens","sensitivity of PREDICT","0.23"
"vPREDICTspec","specificity of PREDICT","0.93"
"vProbabilityRead","Probability of physician using available test result at time of prescription","1"
"vProbabilityReactive","Probability of physician ordering test for patient not yet genotyped at time of prescription","1"
"vpct_afib","% w/ a.fib among warfarin users","0.09"
"vshape_timetowarfarin","Weibull shape for time to warfarin","0.66"
"vscale_timetowarfarin","Weibull scale for time to warfarin","33471.45"
"vMedianTimetoINR","Exponential distribution parameter, median time of 29 days to get in range (non-genotyped)","0.0239"
"vMedianTimetoINR_PGx","Exponential distribution parameter, median time of 21 days to get in range (genotyped)","0.033"
"vMedianTimetoINR_PGx_delay","Exponential distribution parameter, median time of 24 days to get in range (reactive test)","0.02888"
"vINRfreq","Distribution of INR values","distribution"
"vINRvalue","Distribution of INR values","distribution"
"vAF_Risk_Major_Bleed_3","Risk of major bleeds for INR < 3 & AF indication","0.01497"
"vAF_Risk_Major_Bleed_3to4","Risk of major bleeds for 3 <= INR <=4 & AF indication","0.06224"
"vAF_Risk_Major_Bleed_Over4","Risk of major bleeds for INR > 3 & AF indication","0.39118"
"vRRMajorBleed_AF","Relative risk for major bleeds for AF indication","1"
"vNonAF_Risk_Major_Bleed_3","Risk of major bleeds for INR < 3 & non-AF indication","0.01497"
"vNonAF_Risk_Major_Bleed_3to4","Risk of major bleeds for 3 <= INR <=4 & non-AF indication","0.06224"
"vNonAF_Risk_Major_Bleed_Over4","Risk of major bleeds for INR > 3 & non-AF indication","0.39118"
"vRRMajorBleed_NonAF","Relative risk for major bleeds for non-AF indication","1"
"vAF_Risk_Minor_Bleed_3","Risk of minor bleed for INR < 3 & AF indication","0.0973"
"vAF_Risk_Minor_Bleed_3to4","Risk of minor bleed for 3 <= INR <=4 & AF indication","0.4046"
"vAF_Risk_Minor_Bleed_Over4","Risk of minor bleed for INR > 3 & AF indication","0.9999"
"vRRMinorBleed_AF","Relative risk for minor bleed for AF indication","1"
"vNonAF_Risk_Minor_Bleed_3","Risk of major bleeds for INR < 3 & Non-AF indication","0.0973"
"vNonAF_Risk_Minor_Bleed_3to4","Risk of major bleeds for 3 <= INR <=4 & Non-AF indication","0.4046"
"vNonAF_Risk_Minor_Bleed_Over4","Risk of major bleeds for INR > 3 & Non-AF indication","0.9999"
"vRRMinorBleed_NonAF","Relative risk for major bleeds for non-AF indication","1"
"vTimeDurBleed","Timeframe for risks of bleeds (major/minor)","365"
"vR_Bleed_ICH","Major bleed: Probability of non-fatal intracranial bleed","0.144"
"vR_Bleed_ICH_Fatal","Major bleed: Probability of fatal intracranial bleed","0.156"
"vR_Bleed_GI","Major bleed: Probability of non-fatal gastrointestinal bleed","0.557"
"vR_Bleed_GI_Fatal","Major bleed: Probability of fatal gastrointestinal bleed","0.043"
"vR_Bleed_Other","Major bleed: Probability of other non-fatal major bleed","0.098"
"vR_Bleed_Other_Fatal","Major bleed: Probability of other fatal major bleed","0.002"
"vAF_Risk_Stroke_1.5","Risk of stroke events for INR < 1.5 & AF indication","0.077"
"vAF_Risk_Stroke_1.5to2","Risk of stroke events for 1.5 <= INR <2 & AF indication","0.019"
"vAF_Risk_Stroke_Over2","Risk of stroke events for INR >=2 & AF indication","0.006"
"vRRStroke_AF","Relative risk for stroke events for AF indication","1"
"vNonAF_Risk_Stroke_3","Risk of stroke events for INR < 3 & non-AF indication","1e-05"
"vNonAF_Risk_Stroke_Over3","Risk of stroke events for INR >=3 & non-AF indication","0.006"
"vRRStroke_NonAF","Relative risk for stroke events for non-AF indication","1"
"vTimeDurStroke","Timeframe for risks of stroke events","365"
"vR_Stroke_MinorDeficit_2","Stroke: Probability of minor deficit for INR < 2","0.4116"
"vR_Stroke_MajorDeficit_2","Stroke: Probability of major deficit for INR < 2","0.4284"
"vR_Stroke_Fatal_2","Stroke: Probability of fatal stroke for INR < 2","0.16"
"vR_Stroke_MinorDeficit_Over2","Stroke: Probability of minor deficit for INR >= 2","0.5358"
"vR_Stroke_MajorDeficit_Over2","Stroke: Probability of major deficit for INR >= 2","0.4042"
"vR_Stroke_Fatal_Over2","Stroke: Probability of fatal stroke for INR >= 2","0.06"
"vNonAF_Risk_DVTPE_2","Risk of DVTPE events for  INR < 2 & non-AF indication","0.019"
"vNonAF_Risk_DVTPE_Over2","Risk of DVTPE events for  INR >= 2 & non-AF indication","0.007"
"vRRDVTPE_NonAF","Relative risk for DVTPE events for non-AF indication","1"
"vTimeDurDVTPE","Timeframe for risks of DVTPE events for non-AF indication","365"
"vR_DVT","DVTPE: Probability of non-fatal deep vein thrombosis","0.4"
"vR_PE","DVTPE: Probability of non-fatal pulmonary embolism","0.1"
"vR_DVTPE_Fatal","DVTPE: Probability of fatal DVTPE","0.5"
