param,descrip,value,source,distribution,dist notes,variability,notes,,fitted parameters
vPREDICTsens,sensitivity of PREDICT,0.23,study,beta,,,,,
vPREDICTspec,specificity of PREDICT,0.93,study,beta,,,,,
vProbabilityRead,Probability of physician using available test result at time of prescription,1,assumption,beta,,,,,
vProbabilityReactive,Probability of physician ordering test for patient not yet genotyped at time of prescription,1,assumption,beta,,,,,
vpct_afib,% w/ a.fib among warfarin users,0.09,study,beta,,"r=144,n=1594",,,"a=144,b=1450"
vshape_timetowarfarin,Weibull shape for time to warfarin,0.66,study,,,,,,
vscale_timetowarfarin,Weibull scale for time to warfarin,33471.45,study,,,,,,
vMedianTimetoINR,"Exponential distribution parameter, median time of 29 days to get in range (non-genotyped)",0.0239,Pirmohamed 2013,?,literature,14-58,"median, interquartile range",,
vMedianTimetoINR_PGx,"Exponential distribution parameter, median time of 21 days to get in range (genotyped)",0.033,Pirmohamed 2013,?,literature,16-Aug,"median, interquartile range",,
vMedianTimetoINR_PGx_delay,"Exponential distribution parameter, median time of 24 days to get in range (reactive test)",0.02888,assumption,?,literature + assumption,16-Aug,"median, interquartile range",,
vINRfreq,Distribution of INR values,distribution,study,,empirical,,,,
vINRvalue,Distribution of INR values,distribution,study,,empirical,,,,
vAF_Risk_Major_Bleed_3,Risk of major bleeds for INR < 3 & AF indication,0.01497,Patrick 2009,log normal X triangle,"recalculated, need to break down",0.021-0.068 ,0.55-3.35 ,,
vAF_Risk_Major_Bleed_3to4,Risk of major bleeds for 3 <= INR <=4 & AF indication,0.06224,Patrick 2009,log normal X triangle,"recalculated, need to break down",0.071-0.351 ,0.55-3.36,,
vAF_Risk_Major_Bleed_Over4,Risk of major bleeds for INR > 3 & AF indication,0.39118,Patrick 2009,log normal X triangle,"recalculated, need to break down",0.496-1.985 ,0.55-3.37,,
vRRMajorBleed_AF,Relative risk for major bleeds for AF indication,1,assumption,,,,,,
vNonAF_Risk_Major_Bleed_3,Risk of major bleeds for INR < 3 & non-AF indication,0.01497,Patrick 2009,log normal X triangle,"recalculated, need to break down",0.021-0.068 ,0.55-3.35 ,,
