"","Age","aMortCEF1","aMortCEF2","aMortCEF3","aMortCEF4","aMortCEF5","aMortCEF6","aMortCEF7","aMortCEF8","aMortCEF9","aMortCEF10","aMortCEF11","aMortCEF12","aMortCEF13","aMortCEF14","aMortCEF15","aMortCEF16","aMortCEF17","aMortCEF18","aMortCEF19","aMortCEF20","aMortCEF21","aMortCEF22","aMortCEF23","aMortCEF24","aMortCEF25","aMortCEF26","aMortCEF27","aMortCEF28","aMortCEF29","aMortCEF30","aMortCEF31","aMortCEF32","aMortCEF33","aMortCEF34","aMortCEF35","aMortCEF36","aMortCEF37","aMortCEF38","aMortCEF39","aMortCEF40","aMortCEF41","aMortCEF42","aMortCEF43","aMortCEF44","aMortCEF45","aMortCEF46","aMortCEF47","aMortCEF48","aMortCEF49","aMortCEF50","aMortCEF51","aMortCEF52","aMortCEF53","aMortCEF54","aMortCEF55","aMortCEF56","aMortCEF57","aMortCEF58","aMortCEF59","aMortCEF60","aMortCEF61","aMortCEF62","aMortCEF63","aMortCEF64","aMortCEF65","aMortCEF66","aMortCEF67","aMortCEF68","aMortCEF69","aMortCEF70","aMortCEF71","aMortCEF72","aMortCEF73","aMortCEF74","aMortCEF75","aMortCEF76","aMortCEF77","aMortCEF78","aMortCEF79","aMortCEF80","aMortCEF81","aMortCEF82","aMortCEF83","aMortCEF84","aMortCEF85","aMortCEF86","aMortCEF87","aMortCEF88","aMortCEF89","aMortCEF90","aMortCEF91","aMortCEF92","aMortCEF93","aMortCEF94","aMortCEF95","aMortCEF96","aMortCEF97","aMortCEF98","aMortCEF99","aMortCEF100","aMortCEF101","aMortCEF102","aMortCEF103","aMortCEF104","aMortCEF105","aMortCEF106","aMortCEF107","aMortCEF108","aMortCEF109","aMortCEF110","aMortCEF111","gender"
"1",1,0,0,0.000453058142461678,0.00077523282154548,0.00101686383085825,0.00118801912912153,0.00132897055122073,0.00145985401459849,0.00158066951925493,0.00171155298263281,0.00183236848728925,0.00193304807450293,0.00207399949660201,0.00222501887742265,0.00240624213440725,0.00264787314372013,0.00297004782280393,0.00346337780015102,0.00411779511704006,0.00506418323684871,0.00609111502642839,0.00720865844450043,0.00846715328467156,0.00971558016612137,0.0109942109237353,0.0123433173923987,0.0136420840674553,0.0149710546186761,0.0162798892524541,0.0176289957211176,0.0189982381072238,0.0203775484520514,0.0218172665492071,0.0232469166876416,0.0247269066196829,0.0261766926755601,0.0277070224012081,0.0292876919204632,0.0309791089856531,0.0327812735967783,0.0347042537125598,0.0366775736219481,0.0388321167883212,0.0412182230052857,0.0437452806443493,0.0466045809212183,0.0497457840422854,0.0532091618424364,0.0569947143216713,0.0610823055625472,0.065602819028442,0.070455575132142,0.0755902340800403,0.0812786307576139,0.0874301535363705,0.0938736471180468,0.100921218223005,0.108441983387868,0.116536622199849,0.12514472690662,0.134205889755852,0.143730178706267,0.153536370500881,0.164127863075761,0.175776491316386,0.187274100176189,0.200090611628492,0.213682355902341,0.228431915429147,0.243715076768185,0.260105713566574,0.277513214195822,0.295706015605336,0.315429146740498,0.33595771457337,0.358006544173169,0.381756858796879,0.406262270324692,0.432398691165366,0.459763402970048,0.488134910646866,0.518137427636547,0.548925245406494,0.581424616159074,0.614034734457589,0.647399949660206,0.681147747294236,0.714724389630002,0.748200352378555,0.781454820035238,0.813058142461616,0.843775484520513,0.870858293480997,0.896451044550717,0.918620689655172,0.937689403473446,0.953103448275862,0.965617920966524,0.975484520513466,0.983025421595771,0.98860307072741,0.992579914422351,0.995328467153284,0.997160835640574,0.998338786810974,0.999063679838913,0.999496602063931,0.999748301031966,0.999889252454065,0.999969796123836,1,"male"
"2",2,0,0,0,0.000322320709105547,0.000564061240934623,0.000735294117646955,0.000876309427880667,0.00100725221595476,0.00112812248186936,0.00125906526994357,0.00137993553585816,0.00148066075745364,0.00162167606768724,0.00177276390008056,0.0019540692989524,0.00219580983078159,0.00251813053988713,0.00301168412570501,0.00366639806607572,0.00461321514907325,0.00564061240934724,0.00675866236905721,0.00801772763900077,0.00926672038678484,0.0105459307010475,0.0118956486704271,0.0131950040290088,0.0145245769540693,0.0158340048348106,0.0171837228041901,0.0185535858178888,0.019933521353747,0.0213738920225624,0.0228041901692184,0.024284850926672,0.025735294117647,0.0272663174858984,0.0288477034649476,0.0305398871877517,0.032342868654311,0.0342667203867848,0.0362409347300563,0.0383964544721998,0.0407836422240128,0.0433118452860596,0.0461724415793715,0.0493150684931506,0.0527800161160353,0.0565672844480258,0.0606567284448025,0.0651792908944399,0.0700342465753425,0.0751712328767123,0.0808622078968573,0.0870165189363416,0.0934629331184528,0.100513698630137,0.10803787268332,0.116136180499597,0.124748186946011,0.133813456889605,0.143342062852538,0.153152699435939,0.163748992747784,0.175402900886382,0.186905721192587,0.199728041901692,0.213325946817083,0.228082191780822,0.243372280419017,0.259770346494762,0.277185737308622,0.295386784850927,0.315118855761483,0.335656728444803,0.357715551974214,0.38147663174859,0.405993150684932,0.43214141821112,0.459518533440774,0.487902900886382,0.517919016921837,0.548720789685737,0.581234891216761,0.613859790491539,0.647240128928284,0.681003223207091,0.714595084609186,0.748086220789686,0.781355761482675,0.812973408541499,0.843704673650282,0.870799758259468,0.896404109589041,0.918583803384367,0.937661160354553,0.953082191780822,0.965602336825141,0.975473408541499,0.983017727639001,0.988597904915391,0.992576551168412,0.995326349717969,0.997159548751007,0.998338033843674,0.999063255439162,0.999496373892023,0.999748186946011,0.999889202256245,0.999969782433521,1,"male"
"3",3,0,0,0,0,0.000241818474931391,0.000413106561341196,0.000554167338384592,0.000685152345639109,0.000806061583104861,0.00093704659035949,0.00105795582782524,0.00115871352571335,0.00129977430275663,0.00145091084958891,0.00163227470578748,0.00187409318071898,0.00219651781396095,0.00269023053361272,0.00334515556988553,0.00429227793003378,0.00532000644849262,0.00643841689505079,0.00769788811865225,0.00894728357246494,0.010226906335644,0.0115770594873448,0.0128768337901015,0.0142068354022247,0.0155166854747702,0.016866838626471,0.0182371433177495,0.0196175237788167,0.0210583588586167,0.0224891181686281,0.0239702563275834,0.0254211671771723,0.0269526841850717,0.0285345800419152,0.0302273093664355,0.0320308721586329,0.0339553441882959,0.035930195066903,0.0380864098017088,0.0404743672416572,0.043003385458649,0.0458649040786716,0.0490085442527808,0.0524746090601321,0.0562630985007255,0.060353861034983,0.0648778816701596,0.0697344027083669,0.074873045300661,0.0805658552313396,0.0867221505723037,0.0931706432371433,0.100223682089312,0.107750282121554,0.115851201031759,0.124465984201193,0.133534177011124,0.14306585523134,0.152879655005642,0.163479364823473,0.175137030469128,0.186643559567951,0.199470014509109,0.213072303724004,0.227833306464614,0.24312832500403,0.259531678220216,0.276952684185072,0.295159600193455,0.314898033209737,0.335442527809125,0.357508463646623,0.38127720457843,0.405801628244398,0.431958326616153,0.459344268902144,0.487737788167016,0.517763582137675,0.548575286151862,0.581099871030147,0.613735289376108,0.647126390456231,0.680900370788328,0.714503063034016,0.748004997581815,0.781285265194261,0.812913106561341,0.843654280187007,0.87075810091891,0.89637070772207,0.918557552797034,0.937641060777044,0.953067064323715,0.965591246171208,0.975465500564243,0.983012252136063,0.988594228599065,0.992574157665646,0.995324842817992,0.997158632919555,0.998337497984846,0.999062953409641,0.99949621151056,0.99974810575528,0.999889166532323,0.999969772690634,1,"male"
"4",4,0,0,0,0,0,0.00017132951705233,0.000312424413448392,0.000443441102958957,0.000564379585584138,0.000695396275094815,0.000816334757719996,0.000917116826574294,0.00105821172297024,0.0012093848262518,0.00139079255018952,0.00163266951543988,0.00195517213577366,0.00244900427315976,0.00310408772071281,0.00405143916794326,0.00507941627025724,0.00619809723454013,0.00745787309521897,0.00870757074901243,0.00998750302346215,0.0113379827461099,0.0126380714343304,0.0139683947432074,0.0152785616383134,0.0166290413609611,0.0179996774973798,0.0193803918406838,0.0208215754253003,0.0222526808030316,0.0237341772151899,0.025185439006692,0.0267173264532775,0.0282996049342902,0.0299927436910425,0.0317967427235347,0.033721680238652,0.0356970087881964,0.0378537450616787,0.0402422800935258,0.042771910021769,0.0456341207772314,0.0487785213254858,0.052245424494074,0.0560348302829962,0.0601265822784811,0.0646516971700396,0.0695093928888173,0.0746492784003871,0.0803434652906555,0.0865012496976539,0.0929513021043296,0.100006046924131,0.107534467467548,0.115637345803435,0.124254212690478,0.133324598887366,0.142858582600984,0.152674756107393,0.163277029750867,0.17493751511731,0.186446827380472,0.199276384745626,0.212881964040958,0.227646537128114,0.242945255180198,0.25935257598968,0.27677779569459,0.294989115536564,0.314732322825123,0.335281786664517,0.35735305974361,0.381127549786342,0.405657905345481,0.43182093042006,0.459213496734661,0.487613883737806,0.51764694025639,0.548466096912038,0.580998548738209,0.613641860840119,0.647041038458438,0.680823187938402,0.714434007901314,0.747944045795372,0.781232363137951,0.812867854551318,0.843616463758768,0.870726840280577,0.896345642183343,0.918537853745062,0.937625977586068,0.953055712327663,0.965582923486253,0.975459566233976,0.983008143191163,0.988591469805692,0.992572361525437,0.99532371200516,0.997157945658309,0.998337095863904,0.999062726759655,0.999496089655728,0.999748044827864,0.99988913972426,0.999969765379344,1,"male"
"5",5,0,0,0,0,0,0,0.000141119074258902,0.000272158214642104,0.000393117421149719,0.000524156561533033,0.000645115768040647,0.000745915106796974,0.000887034181055764,0.00103823318919037,0.00121967199895173,0.00146159041196696,0.00178414829598723,0.00227806505589327,0.00293326075780951,0.00388077454211902,0.00490892779743369,0.0060278004576291,0.00728779219208329,0.0085377039926619,0.00981785559486738,0.0111685667342023,0.012468878204159,0.0137994294757427,0.0151098208795751,0.01646053201891,0.0178314030259962,0.0192123539669581,0.0206537845111736,0.0220851351215137,0.0235668854012318,0.0250183958793231,0.0265505458284194,0.028133095446894,0.0298265243380004,0.0316308325017389,0.0335560998719849,0.0355317669116091,0.0376888727609947,0.0400778170895199,0.042607880492304,0.0454705817129841,0.0486155210821817,0.0520830183353997,0.0558730734726381,0.0599655266261454,0.0644914169363049,0.0693499450643605,0.0744907113409337,0.0801858739806667,0.086344713578679,0.0927958712590846,0.0998518249720282,0.107381535577127,0.115485802413136,0.124104145876803,0.133176086364873,0.142711703811223,0.15252955940609,0.163133649843257,0.174796133337365,0.186307417823339,0.199139173647021,0.212747084379127,0.22751418750693,0.242815527130142,0.259225659479674,0.276653865150645,0.294868305663915,0.314614896126281,0.335167881298699,0.357242936486337,0.381021500498957,0.405556059552249,0.431723567893395,0.459120828167367,0.487526081828903,0.517564284778292,0.54838872256998,0.580926749120526,0.613575654943704,0.646980555807554,0.680768494158678,0.714385073633917,0.747900853770399,0.781194875361618,0.812835787797232,0.843589666051791,0.870704688177246,0.896327880089107,0.918523894483252,0.937615289243703,0.953047668007298,0.965577025814711,0.975455361012832,0.983005231485681,0.988589514852783,0.992571088733658,0.995322910681706,0.997157458647071,0.998336810910521,0.999062566149566,0.999496003306218,0.999748001653109,0.999889120727368,0.999969760198373,1,"male"
"6",6,0,0,0,0,0,0,0,0.000131057635115344,0.000252033913683397,0.000383091548798854,0.000504067827366907,0.000604881392840266,0.000746020384502901,0.000897240732713052,0.00107870515056508,0.00132065770770118,0.00164326111721595,0.00213724758803546,0.0027925357636124,0.00374018327906202,0.00476848164689042,0.00588751222364488,0.00714768179206198,0.00839777000393179,0.00967810228544358,0.0110290040627867,0.0123294990573931,0.0136602381216417,0.0149708144727955,0.0163217162501387,0.0176927807405765,0.0190739265875617,0.0205155605738308,0.0219471132035527,0.0234290726160113,0.0248807879588278,0.026413154154023,0.0279959271319549,0.0296895950319075,0.0314941578538809,0.0334196969544222,0.0353956428377002,0.0375530531388304,0.0399423346405492,0.0424727551339308,0.0453358603933746,0.0484812436361437,0.0519492302884276,0.0557398203502264,0.0598328511084452,0.0643593801981995,0.069218594054016,0.0743600858931578,0.0800560523424032,0.0862157611928261,0.0926678293831218,0.0997247789662577,0.107255552307118,0.115360962971177,0.123980522819151,0.133053743711754,0.142590707005535,0.152409948282641,0.16301553537044,0.174679664895708,0.186192574072767,0.199026140957527,0.212635972296432,0.227405159638281,0.242708658877138,0.259121107336203,0.276551772806549,0.294768784087587,0.31451816156382,0.33507404756384,0.357152218402508,0.380934138497676,0.405472160333894,0.431643361930781,0.459044489026443,0.487453751776839,0.517496194287903,0.54832498260966,0.580867601544464,0.613521115401288,0.646930730999163,0.680723438145837,0.714344762231206,0.747865272751101,0.781163993426955,0.812809371629046,0.843567590454971,0.870686439567308,0.896313247910639,0.918512395027875,0.937606484328531,0.953041041202504,0.965572167390844,0.975451896807234,0.98300283286119,0.988587904388414,0.992570040224612,0.995322250562035,0.997157057453651,0.998336576169689,0.999062433841097,0.999495932172633,0.999747966086316,0.999889105077979,0.999969755930358,1,"male"
"7",7,0,0,0,0,0,0,0,0,0.000120992135511201,0.000252066948981734,0.000373059084492935,0.000473885864085583,0.000615043355515224,0.000766283524904309,0.000947771728171055,0.00118975599919346,0.00151240169388995,0.00200645291389398,0.00266182698124631,0.00360959870941725,0.0046380318612624,0.00575720911474098,0.0070175438596492,0.0082677959265982,0.00954829602742497,0.0108993748739666,0.0122000403307118,0.013530953821335,0.0148417019560396,0.0161927808025812,0.0175640250050414,0.0189453518854609,0.0203871748336358,0.0218189151038517,0.0233010687638638,0.024752974389998,0.0262855414398064,0.0278685218794113,0.0295624117765679,0.0313672111312765,0.0332930026214963,0.0352692075015124,0.0374269005847954,0.0398164952611414,0.0423472474289172,0.0452107279693488,0.0483565234926396,0.0518249647106271,0.0556160516233113,0.0597096188747732,0.0642367412784836,0.0690965920548499,0.0742387578140755,0.0799354708610607,0.0860959870941723,0.0925489009881025,0.0996067755595887,0.10713853599516,0.11524500907441,0.123865698729583,0.132940108892922,0.142478322242388,0.152298850574713,0.162905827787861,0.174571486186731,0.186085904416213,0.198921153458359,0.212532768703368,0.227303891913692,0.242609397055858,0.259023996773543,0.276456946965114,0.294676346037508,0.31442831215971,0.334986892518653,0.357067957249446,0.380852994555354,0.405394232708207,0.431568864690462,0.458973583383747,0.487386569872958,0.517432950191571,0.548265779391006,0.580812663843517,0.613470457753579,0.646884452510587,0.680681589030046,0.714307320024198,0.747832224238758,0.781135309538213,0.812784835652349,0.84354708610607,0.870669489816495,0.896299657188949,0.918501714055253,0.937598306110103,0.953034886065739,0.965567654769107,0.975448679169187,0.983000604960678,0.988586408550111,0.992569066344021,0.995321637426901,0.997156684815487,0.998336358136721,0.999062310949788,0.999495866102037,0.999747933051018,0.999889090542448,0.999969751966122,1,"male"
"8",8,0,0,0,0,0,0,0,0,0,0.000131090674411175,0.000252097450790662,0.000352936431106882,0.000494111003549522,0.000645369474023964,0.000826879638593138,0.00106889319135211,0.00139157792836404,0.00188568893191356,0.0025411423039691,0.00348902871894161,0.00451758631816719,0.00563689899967741,0.00689738625363027,0.00814778960955156,0.00942844465956768,0.0107796869958052,0.0120805098418845,0.0134115843820588,0.0147224911261698,0.0160737334624073,0.0174451435947081,0.0188266376250404,0.0202686350435624,0.021700548564053,0.0231828815747016,0.0246349628912553,0.026167715392062,0.0277508873830269,0.0294449822523395,0.0312500000000001,0.0331760245240401,0.0351524685382381,0.0373104227170055,0.0397003065505002,0.0422313649564376,0.0450951919974186,0.0482413681832849,0.0517102291061633,0.0555017747660537,0.0595958373668926,0.0641235075830913,0.0689839464343337,0.0741267344304615,0.0798241368183285,0.0859853985156502,0.092439093255889,0.0994978218780252,0.107030493707648,0.115137947725073,0.12375968054211,0.132835188770571,0.142374556308487,0.152196272991287,0.162804533720555,0.174471603743143,0.185987415295257,0.198824217489513,0.212437479832204,0.227210390448532,0.242517747660536,0.258934333656018,0.276369393352694,0.294590997095837,0.314345353339787,0.334906421426267,0.356990158115521,0.38077807357212,0.405322281381091,0.431500080671184,0.458908115521136,0.48732454017425,0.517374556308486,0.54821111648919,0.580761939335269,0.613423685059697,0.646841723136495,0.680642949338496,0.714272749273959,0.747801710229106,0.781108825427557,0.812762181348822,0.843528154243304,0.87065383994837,0.896287108744756,0.91849185221039,0.937590755082284,0.953029202968699,0.965563488222007,0.975445708292997,0.982998547918683,0.988585027428202,0.992568167150693,0.995321071313326,0.997156340755082,0.998336156824782,0.999062197483059,0.999495805098419,0.999747902549209,0.999889077121652,0.999969748305905,1,"male"
"9",9,0,0,0,0,0,0,0,0,0,0,0.000121022641319156,0.000221874842418434,0.000363067923957356,0.000514346225606384,0.000695880187585062,0.000937925470223374,0.00126065251374109,0.00175482829912759,0.00241036760627301,0.00335837829660627,0.00438707074781904,0.0055065301800212,0.00676718269376228,0.00801774998739349,0.00929857294135445,0.0106499924360849,0.0119509858302657,0.0132822348847764,0.0145933134990671,0.0159447329937976,0.0173163229287479,0.0186979980838082,0.0201401845595279,0.0215722858151379,0.0230548131712975,0.0245070848671272,0.0260400383238364,0.0276234178810953,0.0293177348595632,0.0311229892592406,0.033049266300237,0.035025969441783,0.0371842065453078,0.0395744037113609,0.0421057939589531,0.044969996470173,0.0481165851444707,0.0515859008622862,0.0553779436236196,0.0594725429882507,0.0640008068176088,0.0688618829105945,0.0740053451666583,0.079703494528768,0.0858655640159346,0.0923201048862891,0.0993797589632393,0.106913418385356,0.115021935353739,0.123644798547728,0.132721496646664,0.142262114870657,0.152085119257728,0.162694770813373,0.174363370480561,0.185880691846099,0.198719177046039,0.212334224194443,0.227109071655489,0.242418435782361,0.258837174121325,0.276274519691392,0.294498512430034,0.314255458625385,0.33481922242953,0.356905854470274,0.380696888709596,0.405244314457163,0.431425545862538,0.458837174121325,0.487257324391105,0.517311280318693,0.548151883414856,0.580706973929706,0.613373001865766,0.64679542131007,0.680601079118552,0.714235288185165,0.747768645050678,0.781080127073774,0.81273763299884,0.843507639554234,0.870636881649942,0.896273511169381,0.918481165851445,0.93758257273965,0.953023044727951,0.965558973324593,0.975442489032323,0.98299631889466,0.988583530835561,0.992567192778983,0.995320457868993,0.997155967929,0.998335938681862,0.999062074529777,0.999495738994504,0.999747869497252,0.999889062578791,0.999969744339671,1,"male"
"10",10,0,0,0,0,0,0,0,0,0,0,0,0.000100864407976346,0.000242074579143164,0.000393371191107795,0.000574927125465196,0.000817001704608472,0.0011397678101328,0.00163400340921694,0.00228962206106331,0.00323774749604101,0.00426656445739987,0.0053861593859375,0.00664696448564194,0.00789768314454879,0.00917866112584852,0.0105302441927317,0.0118313950556266,0.0131628052409146,0.0144740425446073,0.0158256256114905,0.0171973815599689,0.018579223949245,0.0200215849833069,0.0214538595765712,0.0229365663738237,0.0243890138486832,0.0259221528499238,0.0275057240551527,0.0292002461091554,0.0310057190119322,0.0329322292042806,0.0349091716006172,0.0370676699313113,0.0394581564003509,0.0419898530405575,0.0448544022270861,0.0480013717559484,0.0514711073903351,0.0552636091302462,0.0593587040940863,0.0638875160122247,0.0687491804766852,0.0738932652834794,0.0795921043341435,0.085754919661499,0.0922102417719858,0.0992707503303309,0.106805321606165,0.114914820007464,0.123538726889442,0.132616523607315,0.142158296601878,0.151982489938775,0.162593425657888,0.174263437660753,0.185782153051653,0.198622192187043,0.212238887263851,0.227015523032388,0.242326740163199,0.25874746578175,0.276186921920862,0.29441312044219,0.314172457964758,0.334738710751137,0.356828016097959,0.380621929939582,0.405172326841028,0.43135672715169,0.458771673239664,0.487195263407401,0.517252856984356,0.548097192943526,0.580656223838294,0.613326205581836,0.646752670385201,0.680562419938876,0.714200699998991,0.74773811565113,0.781053629605721,0.8127149672695,0.843488698143086,0.870621223888726,0.896260956396316,0.91847129903271,0.937575017903432,0.953017358764613,0.965554804676074,0.975439516657757,0.982994260815186,0.988582149017076,0.992566293132142,0.995319891469897,0.997155623695067,0.99833573726839,0.99906196100582,0.999495677960118,0.999747838980059,0.999889049151226,0.999969740677607,1,"male"
