"","Age","aMortCEF1","aMortCEF2","aMortCEF3","aMortCEF4","aMortCEF5","aMortCEF6","aMortCEF7","aMortCEF8","aMortCEF9","aMortCEF10","aMortCEF11","aMortCEF12","aMortCEF13","aMortCEF14","aMortCEF15","aMortCEF16","aMortCEF17","aMortCEF18","aMortCEF19","aMortCEF20","aMortCEF21","aMortCEF22","aMortCEF23","aMortCEF24","aMortCEF25","aMortCEF26","aMortCEF27","aMortCEF28","aMortCEF29","aMortCEF30","aMortCEF31","aMortCEF32","aMortCEF33","aMortCEF34","aMortCEF35","aMortCEF36","aMortCEF37","aMortCEF38","aMortCEF39","aMortCEF40","aMortCEF41","aMortCEF42","aMortCEF43","aMortCEF44","aMortCEF45","aMortCEF46","aMortCEF47","aMortCEF48","aMortCEF49","aMortCEF50","aMortCEF51","aMortCEF52","aMortCEF53","aMortCEF54","aMortCEF55","aMortCEF56","aMortCEF57","aMortCEF58","aMortCEF59","aMortCEF60","aMortCEF61","aMortCEF62","aMortCEF63","aMortCEF64","aMortCEF65","aMortCEF66","aMortCEF67","aMortCEF68","aMortCEF69","aMortCEF70","aMortCEF71","aMortCEF72","aMortCEF73","aMortCEF74","aMortCEF75","aMortCEF76","aMortCEF77","aMortCEF78","aMortCEF79","aMortCEF80","aMortCEF81","aMortCEF82","aMortCEF83","aMortCEF84","aMortCEF85","aMortCEF86","aMortCEF87","aMortCEF88","aMortCEF89","aMortCEF90","aMortCEF91","aMortCEF92","aMortCEF93","aMortCEF94","aMortCEF95","aMortCEF96","aMortCEF97","aMortCEF98","aMortCEF99","aMortCEF100","aMortCEF101","aMortCEF102","aMortCEF103","aMortCEF104","aMortCEF105","aMortCEF106","aMortCEF107","aMortCEF108","aMortCEF109","aMortCEF110","aMortCEF111"
"1",1,0,0,0.000412358691716641,0.000643681860240661,0.000804602325300743,0.000945407732228398,0.00104598302289098,0.00115661584261977,0.00124713360421613,0.00135776642394504,0.00144828418554129,0.00154885947620387,0.00165949229593278,0.00178018264472789,0.00190087299352301,0.00205173592951688,0.00222271392364328,0.00247415215029973,0.00274570543508872,0.00306754636520899,0.00344973246972688,0.0038520336323772,0.00428450738222638,0.00472703866114177,0.00517962746912337,0.00568250392243638,0.00618538037574927,0.00670837188719482,0.00723136339864025,0.00782475761354951,0.00844832441565764,0.00911212133403072,0.00977591825240381,0.0105101178742407,0.0112342599670113,0.0120288047632458,0.0128937522629441,0.0138391599951724,0.0148348553727321,0.015921068511888,0.0170977994126403,0.0183248179587239,0.019682584382669,0.021161041155409,0.0228104759222754,0.0246409462123346,0.0266021643802551,0.0288852234782959,0.0313090879832643,0.0339139880114254,0.0367602687371767,0.0398680452186507,0.0431467996942512,0.0467976827453032,0.050559198616084,0.0546425554169851,0.0588466025666815,0.0634428933499618,0.0682805648308324,0.0735507100615521,0.0790924085770608,0.0850263507261537,0.0914430542704268,0.0984028643842781,0.106388542462888,0.114293760308967,0.123224846119805,0.132940419197812,0.143651687653377,0.154865832562256,0.166954982499899,0.180120288047633,0.194271231443859,0.209649193386169,0.225902160357244,0.243563181397594,0.263014442611739,0.283320593796516,0.305557790562015,0.32944442209438,0.354497726998431,0.381512250070403,0.409844309450054,0.440600233334674,0.472794383875769,0.506728486945327,0.542583578066541,0.579705917850103,0.617492054552038,0.656646015206984,0.69604135655952,0.735436697912057,0.77244840487589,0.80887677515388,0.842207426479463,0.8725409341433,0.899293961459549,0.922386048195679,0.941756849177294,0.957516997224122,0.969927988091886,0.979382065414169,0.986331817998954,0.991260007241421,0.994619221949552,0.996831878344129,0.998229874884339,0.999074707325904,0.999567526250151,0.999849137064006,1
"2",2,0,0,0,0.000231418595993504,0.000392405445380182,0.000533268938593609,0.000633885719460311,0.000744564178413639,0.000835119281193715,0.000945797740147154,0.00103635284292712,0.00113696962379382,0.00124764808274726,0.00136838821978732,0.00148912835682739,0.00164005352812744,0.00181110205560086,0.00206264400776761,0.00233430931610773,0.0026562830148812,0.00303862678217475,0.00344109390564156,0.00387374606336847,0.004316459899182,0.00476923541308216,0.00527231931741578,0.00577540322174929,0.00629861048225627,0.00682181774276315,0.00741545674987673,0.00803928079125042,0.00870335154497072,0.00936742229869101,0.010101924799018,0.0108263656212583,0.0116212381901054,0.0124865425055591,0.0134323402457062,0.0144284463762867,0.0155151076096471,0.0166923239457877,0.0179198486723616,0.0192781752140623,0.0207572418928029,0.022407357099017,0.0242385825107912,0.0262006097376921,0.0284846106633665,0.0309094750822542,0.0335154497067021,0.0363629046052301,0.0394719631340115,0.0427520701902664,0.0464044593357281,0.0501675269401431,0.0542525682433316,0.0584583496835603,0.063056536569169,0.0678962037288579,0.0731685230462737,0.0787125076720296,0.0846488977431656,0.0910682483624619,0.0980309295984384,0.106019901999255,0.113928380975379,0.122863151116343,0.132582732148068,0.143298419310373,0.154517190377011,0.16661132743719,0.179782064052643,0.193938845120589,0.20932315091511,0.22558282270317,0.243251129423365,0.262710414842988,0.283024942899977,0.305271313149607,0.329167798605452,0.35423143871935,0.381257106060149,0.409600853230302,0.440369464819343,0.472576896374777,0.506524998239206,0.54239488061819,0.579532534436093,0.617334259007717,0.656504371799129,0.69591596486462,0.735327557930112,0.772354533289062,0.808797931318985,0.842142332498214,0.872488353607615,0.89925241731816,0.922354030205158,0.941732822200087,0.9574994717619,0.969915582520853,0.979373559922324,0.986326179480214,0.991256401742683,0.994617002223631,0.996830571402699,0.998229144656746,0.999074325616026,0.999567347842273,0.9998490748287,1
"3",3,0,0,0,0,0.000161024113360913,0.000301920212551796,0.000402560283402395,0.000513264361338009,0.000603840425103593,0.000714544503039318,0.00080512056680479,0.000905760637655389,0.00101646471559111,0.00113723280061186,0.0012580008856326,0.00140896099190849,0.00158004911235454,0.00183164928948103,0.00210337748077767,0.00242542570749961,0.00280785797673197,0.00321041826013437,0.00364317056479203,0.00408598687653471,0.00453886719536241,0.00504206754961551,0.00554526790386851,0.00606859627229176,0.00659192464071489,0.00718570105873347,0.00780966949800732,0.00847389396562133,0.00913811843323535,0.00987279095044481,0.0105973994605691,0.011392456020289,0.0122579606296042,0.0132039772955999,0.014200313997021,0.0152872267622076,0.0164647155911597,0.0176925244555371,0.0190511654120204,0.0205305744535244,0.0221810716154744,0.0240127209049555,0.0259752022865424,0.0282597318948512,0.0306851576023509,0.0332917354373817,0.036139849442454,0.0392496276317378,0.0425304939414677,0.0461837285133449,0.0499476671631576,0.0540336540396923,0.0582404090012479,0.0628396602391207,0.0676804476470351,0.072953987359607,0.0784992552634757,0.0844370194436617,0.0908578559639305,0.0978221488667928,0.105812970492331,0.113723280061189,0.122660118352723,0.132381949196892,0.143100116742482,0.154321484642325,0.166418421158568,0.179592206432913,0.193752264401594,0.209140131234652,0.225403566684111,0.243075963125478,0.262539752827986,0.282858983132724,0.305110502797794,0.329012519624814,0.354081961273701,0.381113884304175,0.409464192262791,0.440239925928908,0.472454812608188,0.506410772513184,0.542288957771426,0.579435207922386,0.61724568254096,0.656424862123103,0.695845577875287,0.735266293627471,0.772301839700495,0.808753673362586,0.842105792842478,0.872458838211022,0.899229097057284,0.922336057324584,0.941719334970412,0.957489634072702,0.969908618815668,0.979368785475625,0.986323014371402,0.991254377843082,0.994615756209492,0.996829837768206,0.998228734753029,0.999074111348174,0.999567247695342,0.999849039893724,1
"4",4,0,0,0,0,0,0.000140918790514181,0.000241575069452851,0.000352296976285342,0.000442887627330189,0.000553609534162792,0.000644200185207527,0.000744856464146196,0.000855578370978799,0.000976365905705224,0.00109715344043165,0.00124813785883965,0.00141925353303541,0.00167089423038209,0.00194266618351651,0.00226476627612028,0.00264726013608731,0.00304988525184199,0.00348270725127835,0.00392559487860854,0.00437854813383255,0.00488182952852601,0.00538511092321936,0.00590852357370057,0.00643193622418167,0.00702580826991986,0.00764987719933975,0.00831420864033503,0.00897854008133031,0.00971333091758268,0.0104380561259411,0.0112332407295568,0.0120988847284294,0.0130450537504529,0.0140415509119459,0.0151286387244836,0.0163063171880662,0.0175343237911181,0.0188931835567903,0.0203728308571889,0.0220235938317832,0.0238555381084673,0.0258183355477715,0.0281032330796796,0.0305290494021017,0.0331360470266136,0.0359846197205782,0.0390948987397834,0.0423762934331844,0.0460301163586585,0.0497946611909651,0.0538813061158755,0.0580887385755124,0.06268873052301,0.0675302975399605,0.0728046865563474,0.0783508475258687,0.0842895679832509,0.0907114385795386,0.0976768530820953,0.105668961629826,0.113580545154407,0.122518822724162,0.132242219269638,0.142962112976607,0.15418528807827,0.1662841728067,0.179460079719773,0.193622418166445,0.209012763216169,0.22527881789266,0.242954060474292,0.262420984821033,0.282743487538753,0.304998590812095,0.328904457060032,0.353977936143657,0.381014212666586,0.409369086443612,0.440149776543061,0.472369851431332,0.506331279945243,0.542215243386883,0.579367475943149,0.617184039940412,0.65636952933124,0.695796593791521,0.735223658251802,0.772265168901236,0.808722873132826,0.842080363973105,0.872438297701011,0.8992128678987,0.922323549543021,0.941709948866611,0.957482787776302,0.969903772597335,0.979365462817571,0.986320811692234,0.991252969360229,0.994614889076781,0.996829327213432,0.99822844949068,0.999073962233765,0.999567178000564,0.999849015581592,1
"5",5,0,0,0,0,0,0,0.00010067046529888,0.000211407977127602,0.000302011395896639,0.000412748907725473,0.000503352326494398,0.000604022791793277,0.000714760303622112,0.000835564861980789,0.000956369420339467,0.00110737511828779,0.0012785149092959,0.0015301910725431,0.0018020013288501,0.00212414681780654,0.00250669458594237,0.00290937644713789,0.00334225944792316,0.00378520949523827,0.00423822658908323,0.00474157891557774,0.00524493124207214,0.00576841766162645,0.00629190408118064,0.00688585982644408,0.00751001671129726,0.00817444178226993,0.00883886685324261,0.00957376124992452,0.0102985886000765,0.0110938852759378,0.0119596512775082,0.0129059536513177,0.0139025912577768,0.0149898322830048,0.0161676767270018,0.0173958564036483,0.0187549076851834,0.020234763525077,0.0218857591559788,0.0237179616244187,0.025681035697747,0.0279662552600318,0.030392413473735,0.0329997785249764,0.035848752692935,0.0389594700706706,0.0422413272394145,0.0458956651297643,0.0496607405319427,0.0537479614230776,0.0579559868725713,0.0625566271367306,0.0673988765176072,0.0726740088992691,0.078220951537238,0.0841605089898726,0.0905832846759417,0.097549680874625,0.105542915819357,0.11345561439185,0.122395151710391,0.132119918658264,0.142841323212596,0.154066080093422,0.166166670022349,0.179344433929974,0.193508768397527,0.208901282541728,0.225169629734029,0.242847363440514,0.262317031429319,0.282642398373165,0.30490063825075,0.328809873759237,0.35388688666519,0.380926973644472,0.40928584371917,0.44007087200757,0.472295487949745,0.506261702941591,0.542150723820645,0.579308192562466,0.617130086375259,0.656321098516117,0.695753719773693,0.735186341031268,0.77223307226126,0.808695914792518,0.84205810699257,0.872420319326716,0.899198663096221,0.922312601928846,0.941701733545412,0.957476795457749,0.969899530875632,0.979362554613727,0.986318883765881,0.991251736565526,0.994614130106509,0.996828880343085,0.99822819981074,0.99907383171925,0.999567116999215,0.999848994302052,1
"6",6,0,0,0,0,0,0,0,0.000110748660947952,0.00020136120172363,0.000312109862671693,0.000402722403447259,0.000503403004309074,0.000614151665257138,0.000734968386291338,0.000855785107325538,0.00100680600861826,0.00117796303008337,0.0014296645322379,0.00170150215456483,0.00202368007732266,0.00240626636059764,0.0028089887640449,0.0032419153477508,0.00368490999154283,0.00413797269542099,0.00464137569973018,0.00514477870403925,0.00566831782852082,0.00619185695300228,0.00678587249808704,0.00741009222343042,0.00807458418911847,0.00873907615480651,0.00947404454109785,0.0101989448673029,0.0109943216141114,0.0118601747815231,0.0128065724296242,0.0138033103781563,0.014890660867464,0.0160686238975474,0.0172969272280617,0.0186561153396964,0.0201361201723652,0.0217872820264991,0.0236196689621844,0.02558294067899,0.0278683903185535,0.0302947927993234,0.0329024203616448,0.0357516813660344,0.0388627119326648,0.0421448995207604,0.0457996053320447,0.0495650598042769,0.053652692199267,0.0578611413152914,0.0624622447746768,0.0673049816761306,0.0725806451612903,0.0781281462687769,0.0840683017196247,0.0904917240546091,0.0974588216342475,0.105452861342676,0.113366356570416,0.122306793926946,0.132032539970199,0.142755023961983,0.153980910958077,0.166082719181668,0.179261809834481,0.19342757037574,0.208821634247513,0.225091619346784,0.242771132858121,0.262242761064798,0.282570174378801,0.30483065522935,0.328742297934034,0.353821835608715,0.380864645000201,0.409226370262978,0.440014498006524,0.472242358342395,0.506211993073175,0.542104627280416,0.579265837058516,0.617091538802304,0.656286496717812,0.69572308807539,0.735159679432967,0.772210140550119,0.808676654182272,0.842042205307881,0.872407474527808,0.899188514357054,0.922304780314929,0.941695864040917,0.957472514195965,0.969896500342314,0.979360476823325,0.986317506342878,0.991250855785107,0.994613587853892,0.996828561072852,0.998228021424832,0.999073738472071,0.999567073416294,0.999848979098707,1
"7",7,0,0,0,0,0,0,0,0,9.06225771047441e-05,0.000201383504677221,0.000292006081781854,0.000392697834120409,0.000503458761692886,0.000624288864499174,0.000745118967305462,0.000896156595813295,0.00106733257478886,0.00131906195563525,0.00159092968694937,0.00191314329443277,0.00229577195331936,0.00269853896267358,0.00313151349772946,0.00357455720801914,0.00402767009354264,0.00453112885523553,0.0050345876169283,0.00555818472908892,0.00608178184124943,0.00667586318004695,0.00730015204454612,0.00796471760998065,0.00862928317541518,0.00936433296748672,0.0100893135843243,0.0108847784277991,0.0117507274979107,0.0126972299698932,0.013694078318045,0.0147815492433015,0.0159596427456627,0.0171880821241932,0.0185474207807639,0.0200275895401408,0.0216789342784933,0.0235115241710552,0.0254750133416573,0.0277607161197427,0.0301873873511021,0.032795303736671,0.0356448803278524,0.038756255475114,0.0420388066013513,0.0456939172112413,0.0494597887487036,0.0535478738936494,0.0577567891414015,0.0623584022232739,0.0672016755107589,0.0724779233332998,0.0780260388871548,0.0839668522751302,0.0903909860743307,0.0973588553361595,0.105353780471842,0.113268152205653,0.122209579813318,0.131936403089223,0.14266007471328,0.15388720509903,0.165990353730126,0.179170904111244,0.19333823366528,0.208734002597847,0.22500578977576,0.242687261486412,0.26216104638869,0.282490711185847,0.304753657627904,0.328667948808313,0.35375026431585,0.380796068993989,0.409160935627763,0.439952473492896,0.472183903416471,0.506157300655503,0.542053910364202,0.579219236152367,0.617049127505966,0.65624842669137,0.695689386082386,0.735130345473402,0.772184910333995,0.808655463031023,0.842024709756024,0.872393342261335,0.899177348383394,0.922296174720329,0.941689406220736,0.95746780381219,0.969893166050769,0.979358190770594,0.986315990857189,0.991249886721778,0.994612991249887,0.996828209801335,0.998227825158841,0.999073635878485,0.999567025464944,0.999848962371492,1
"8",8,0,0,0,0,0,0,0,0,0,0.000110770965922878,0.000201401756223292,0.000302102634334938,0.000412873600257816,0.000533714653991813,0.000654555707725811,0.00080560702489328,0.000976798517683101,0.00122855071296222,0.00150044308386368,0.00182268589382097,0.00220534923064532,0.0026081527430919,0.00304116651897207,0.00348425038266336,0.00393740433416576,0.0044409087247241,0.00494441311528233,0.00546805768146303,0.00599170224764361,0.00658583742850237,0.00721018287279471,0.00787480866833164,0.00853943446386857,0.00927455087408367,0.00999959719648755,0.0107951341335697,0.0116611616853299,0.0126077499395794,0.0136046886328849,0.0146922581164908,0.0158704583903972,0.0170990091033594,0.0184584709578668,0.0199387738661082,0.0215902682671393,0.0234230242487715,0.0253866913719488,0.0276726013050834,0.0300994924675743,0.0327076452106663,0.0355574800612262,0.0386691371948763,0.0419519858213164,0.0456074276967696,0.0493736405381455,0.0534620961894787,0.0576713928945461,0.0622734230242488,0.0671171352614195,0.0723938612744703,0.0779424796584226,0.0838838314670104,0.0903085474905341,0.0972770482558608,0.105272697977926,0.113187786997503,0.122130024973818,0.131857729799404,0.142582373318295,0.153810521227745,0.165914766776766,0.179096511721582,0.193265125271892,0.208662289535165,0.224935551438009,0.242618625634416,0.26209417546121,0.282425682751954,0.304690646902441,0.32860710545396,0.353691694191573,0.380739950052365,0.409107387416418,0.439901715942963,0.472136067026505,0.506112543301378,0.542012406348183,0.579181100459196,0.617014420365746,0.656217272214614,0.69566180617095,0.735106340127286,0.772164263272376,0.808638121324418,0.842010392330621,0.872381777169097,0.899168210746798,0.922289132361234,0.94168412148554,0.957463949085636,0.969890437444615,0.97935631998711,0.986314750664626,0.991249093692097,0.994612503021027,0.996827922339483,0.998227664545235,0.999073551921373,0.99956698622412,0.999848948682833,1
"9",9,0,0,0,0,0,0,0,0,0,0,9.064083067278e-05,0.000191352864753721,0.000302136102242824,0.000422990543139976,0.000543844984037127,0.000694913035158539,0.000866123493096162,0.00111790357829851,0.00138982607031708,0.00171210457937611,0.00209481030888378,0.00249765844520754,0.00293072019175568,0.00337385314171187,0.0038270572950761,0.00433061746548092,0.00483417763588563,0.00535788021310666,0.00588158279032757,0.00647578379140517,0.00710019840270714,0.00776489782764142,0.0084295972525757,0.00916479510136666,0.00988992174674946,0.0106855468159891,0.0115516703090852,0.0124983634294461,0.0134954125668476,0.0145831025349218,0.015761433333669,0.0169901201494566,0.0183497326095495,0.0198301995105395,0.0214818768694671,0.0233148358897405,0.025278720554319,0.0275648837279567,0.0299920437493075,0.0326004854320043,0.0354506359964952,0.0385626378495966,0.0418458501606357,0.0455016969977743,0.0492683270724018,0.0533572356560885,0.0575669986806723,0.0621695386381718,0.0670137874774656,0.0722910980633075,0.077840331141168,0.0837823411519442,0.0902077689263089,0.0971770416847108,0.105173577190738,0.113089543069501,0.12203277169589,0.13176155418811,0.142487385817731,0.153716777617757,0.165822364114288,0.179005569375485,0.193175752570675,0.208574622581652,0.224849687289134,0.242534720473749,0.262012427865006,0.28234618754595,0.304613618281248,0.328532726375475,0.35362009406504,0.380671346419184,0.409041926419788,0.439839666441743,0.472077588551056,0.506057828849969,0.541961668999829,0.579134480779108,0.616971991983322,0.656179186851037,0.695628090600546,0.735076994350055,0.772139022891845,0.808616921635966,0.841992889730394,0.872367639209209,0.899157040274742,0.922280523299729,0.94167766106372,0.957459236804206,0.969887101809795,0.979354033013405,0.986313234568399,0.991248124238365,0.994611906176669,0.99682757092645,0.998227468200175,0.999073449286455,0.999566938253452,0.999848931948879,1
"10",10,0,0,0,0,0,0,0,0,0,0,0,0.00010072116353087,0.000211514443414894,0.00033237983965196,0.000453245235889027,0.000604326981185332,0.000775552959187833,0.00102735586801501,0.00129930300954838,0.00162161073284719,0.00200435115426458,0.00240723580838806,0.00284033681157089,0.00328350993110677,0.00373675516699568,0.00424036098465014,0.00474396680230449,0.00526771685266515,0.0057914669030257,0.00638572176785787,0.0070101929817494,0.00767495266105321,0.00833971234035702,0.00907497683413246,0.00980016921155475,0.0105958664034488,0.0114620684098143,0.0124088473470045,0.0134059868659603,0.0144937754320938,0.0156722130454051,0.0169010112404819,0.0182607469481488,0.0197413480520528,0.0213931751339592,0.0232263003102213,0.0251903629990734,0.0274767334112244,0.0299041134523186,0.0325127915877685,0.0353632005156924,0.0384754844687966,0.0417589943999034,0.0454151726360744,0.0491821441521293,0.053271423391483,0.0574815680270739,0.0620845252004352,0.0669292131662705,0.0722070021352887,0.0777567382458403,0.0836992868941623,0.0901252971274324,0.0970952016437694,0.105092462028121,0.113009145481649,0.121953184803191,0.131682849200274,0.142409653116313,0.153640062850006,0.165746746706418,0.17893114701261,0.193102614721405,0.208502880625277,0.224779420651867,0.24246605696789,0.261945529994763,0.282281132911647,0.304550582168325,0.32847185850691,0.353561500342452,0.380615204866847,0.408988356633496,0.439788888441239,0.472029732887474,0.506013053462794,0.541920148261553,0.579096329720801,0.616937270859353,0.656148019821925,0.695600499576971,0.735052979332017,0.772118367511382,0.808599572942267,0.841978566536401,0.872356069457314,0.899147898956529,0.922273478103219,0.941672374199267,0.957455380524556,0.969884372104267,0.979352161476169,0.986311993876153,0.991247330889167,0.994611417751098,0.996827283348777,0.998227307521857,0.999073365295516,0.999566898996817,0.999848918254704,1
